pl_name,period
K2-1 b,3.40883
K2-2 b,9.1205
K2-3 b,10.05449
K2-3 c,24.64354
K2-3 d,44.55983
K2-4 b,10.003417
K2-5 b,5.73594
K2-5 c,10.93241
K2-6 b,30.94191
K2-7 b,28.67992
K2-8 b,10.35239
K2-8 c,5.06416
K2-9 b,18.4498
K2-10 b,19.3044
K2-11 b,39.93767
K2-12 b,8.28212
K2-13 b,39.91488
K2-14 b,8.36802
K2-15 b,11.8104
K2-16 b,7.6188
K2-16 c,19.07863
K2-17 b,17.96753
K2-18 b,32.93963
K2-18 c,8.962
K2-19 b,7.9194
K2-19 c,11.90715
K2-19 d,2.50856
K2-20 b,2.7908327
K2-21 b,9.325038
K2-21 c,15.50192
K2-22 b,0.381078
K2-23 b,4.1591409
K2-23 c,572
K2-23 d,9.03079
K2-23 e,0.789518
K2-24 b,20.88508
K2-24 c,42.36342
K2-25 b,3.484552
K2-26 b,14.5665
K2-27 b,6.771315
K2-28 b,2.260455
K2-29 b,3.2588321
K2-30 b,4.098503
K2-31 b,1.25785
K2-32 b,8.99213
K2-32 c,20.6602
K2-32 d,31.7154
K2-33 b,5.424865
K2-34 b,2.99561
K2-35 b,5.608352
K2-35 c,2.399964
K2-36 b,1.42266
K2-36 c,5.34059
K2-37 b,4.44117
K2-37 c,6.42904
K2-37 d,14.09189
K2-38 b,4.01593
K2-38 c,10.56103
K2-39 b,4.60497
K2-40 b,2.484193
K2-41 b,3.951623
K2-42 b,6.68796
K2-43 b,3.471149
K2-43 c,2.198884
K2-80 d,28.8673
K2-111 b,
K2-111 c,15.6785
K2-138 b,
K2-138 c,
K2-138 d,
K2-138 e,
K2-138 f,
K2-138 g,41.97
K2-141 b,
K2-145 b,4.17524
K2-146 b,
K2-147 b,0.961917
K2-148 b,
K2-155 d,40.6835
K2-187 b,0.773981
K2-187 c,2.871788
K2-187 d,7.149079
K2-187 e,13.608341
K2-229 b,
K2-236 b,
K2-239 b,
K2-239 c,7.775
K2-239 d,
K2-288B b,31.393463
K2-315 b,3.1443189
