,rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,system_no_of_planets,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,period,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
0,144,AU Mic b,AU Mic,b,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,0,1,2,0,0,Transit,2020,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,2020-06,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,8.463,,,,11.7,0.03681,,,,,11.7,0.03681,Mass,0.97,0.04,,,,2458330.391,BJD-TDB,1,,,,,,,,179.0,5.8,,,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,,3700.0,0.75,0.5,,,-1.046,4.39,0.022,,7.8,4.86,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,-36.80401,12.65304,-12.82465,305.31069,456.8630854,281.424,-359.895,9.7221,102.829,10.209,8.81,5.436,4.831,4.529,,,,,,,,,,7.84038,,6.755,,09/05/2022,2022-05,09/05/2022,1,1,0,1,0,0
7,151,AU Mic c,AU Mic,c,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,0,1,2,0,0,Transit,2021,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,2021-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,18.859019,,,,22.2,0.06985,,,,,22.2,0.06985,Mass,3.66,0.041,,,,2458342.222,BJD-TDB,0,,,,,,,,153.0,8.5,,,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,,3700.0,0.75,0.5,,,-1.046,4.39,0.022,,7.8,4.86,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,-36.80401,12.65304,-12.82465,305.31069,456.8630854,281.424,-359.895,9.7221,102.829,10.209,8.81,5.436,4.831,4.529,,,,,,,,,,7.84038,,6.755,,09/05/2022,2022-05,09/05/2022,2,1,0,1,0,0
11,164,BD+20 594 b,BD+20 594,b,,,TIC 26123781,Gaia DR2 58200934326315136,0,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.688644,,2.355,0.21,,,,,,,,,,,,,,89.526,2457068.529,,0,,,,54.721028,0.02259,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5703.0,0.96,0.96,-0.06,[Fe/H],,4.38,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,,,,,,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,25/04/2018,2018-03,15/02/2018,1,0,0,0,0,0
14,339,DS Tuc A b,DS Tuc A,b,HD 222259 A,HIP 116748 A,TIC 410214986,Gaia DR2 6387058411482257536,1,2,1,0,0,Transit,2019,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,2019-07,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,,5.7,0.509,,,,,,,,,,,0.0,,850.0,89.5,2458332.31,BJD,0,0.18,0.2936,3.1764,20.35,0.05419,,2458332.31,,,,,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.0,0.96,1.01,0.0,,-0.14,,0.045,2.4,17.8,2.85,8.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,-46.63356,312.10146,-57.6872,311.43938,104.2238507,79.4639,-67.4396,44.0622,22.6663,8.886,8.17,7.122,6.759,6.676,,,,,,6.767,6.65,6.728,6.589,8.31926,,7.8541,,03/07/2019,2019-07,11/07/2019,2,1,0,0,0,0
17,342,EPIC 201170410.02,EPIC 201170410,b,,,TIC 38116202,Gaia DR2 3786541956697428224,1,1,1,0,0,Transit,2020,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,2020-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,6.7987,0.0349,1.047,0.093,,,,,,,,,,,0.0,,,89.002,2456813.149,BJD,0,0.46,,,,0.034,,,,,,,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,3648.0,0.28,0.29,-0.048,[Fe/H],,5.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039,51.24569,264.99528,-8.32309,172.84681,21.8630759,8.57776,-20.1101,,,19.456,17.6984,13.464,12.856,12.619,,,,,,12.45,12.291,11.803,8.892,16.4386,,15.3176,15.673,13/11/2020,2020-08,19/11/2020,0,0,0,0,0,0
18,343,EPIC 201238110 b,EPIC 201238110,b,,,TIC 35019000,Gaia DR2 3600975145895223040,1,1,1,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,28.1656,,1.87,0.167,,,,,,,,,,,,,,,2456852.657,BJD,0,0.24,,,,0.0458,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,0.41,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,12.759,12.147,11.933,19.7224,17.0037,15.5521,14.5637,14.0482,11.8,11.719,11.961,8.891,15.2612,,14.1497,14.904,03/06/2019,2019-07,13/06/2019,0,0,0,0,0,0
20,345,EPIC 201427007 b,EPIC 201427007,b,,,TIC 66664249,Gaia DR2 3698079992771142784,1,1,1,0,0,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,2021-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.72091,,1.5,0.134,,,,,,,,,,,,,,88.5,2457625.794,HJD,0,,,,3.1,0.0142,,,,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5633.0,0.94,,-0.053,[Fe/H],,4.4,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h18m24.51s,184.6021322,-00d33m04.64s,-0.5512886,61.20318,285.58634,1.3229,184.44256,17.7833657,-17.3534,3.88685,706.391,1.38704,15.081,14.321,12.975,12.63,12.581,16.4425,14.6644,14.0904,13.9361,13.8685,12.534,12.57,11.181,8.468,14.147,,13.6514,14.219,25/10/2021,2021-08,25/10/2021,0,0,0,0,0,0
21,346,EPIC 201497682 b,EPIC 201497682,b,,,TIC 301610040,Gaia DR2 3810098271767907840,1,1,1,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2.13174,,0.692,0.062,,,,,,,,,,,,,,,2456850.026,BJD,0,0.21,,,,0.0115,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,0.78,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,11.1495,-12.0384,253.026,3.92339,15.148,13.948,12.086,11.54,11.438,17.4868,15.5898,13.759,13.467,14.0043,11.376,11.449,11.354,8.878,13.7368,,13.0708,13.74,03/06/2019,2019-07,13/06/2019,0,0,0,0,0,0
22,347,EPIC 201595106 b,EPIC 201595106,b,,,TIC 397052808,Gaia DR2 3701123406596146048,1,1,1,0,0,Transit,2021,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,2021-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.877214,,1.3,0.116,,,,,,,,,,,,,,89.2,2457608.49,HJD,0,,,,5.8,0.0126,,,,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5820.0,0.93,,-0.01,[Fe/H],,4.6,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,63.35883,282.19917,3.28517,182.63147,25.0015387,6.09669,-24.2468,232.1,4.28034,12.481,11.746,10.588,10.262,10.218,14.6843,12.2644,14.176,11.579,13.7205,10.158,10.218,10.086,8.424,11.6477,,11.2023,11.678,25/10/2021,2021-08,25/10/2021,0,0,0,0,0,0
25,350,EPIC 201615463 c,K2-166,c,,,TIC 377171980,Gaia DR2 3701015375282968064,1,1,2,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2019-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,3.80464,,1.22,0.109,,,,,,,,,,,,,,,2457621.223,BJD,0,0.61,,,,0.0093,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,1.07,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788,64.0901,285.15815,4.15639,183.85511,49.6479619,-47.365,-14.8821,476.882,2.06877,12.64,12.081,10.952,10.715,10.637,14.8068,14.4276,14.6152,13.7582,13.1044,10.615,10.666,10.647,8.375,11.9456,,11.549,11.964,03/06/2019,2019-07,13/06/2019,0,0,0,0,0,0
