rowid,pl_name,hostname,period,system_no_of_planets,T0,T0_unit,Author
144,AU Mic b,AU Mic,8.463,2,58329.89051,MJD,
151,AU Mic c,AU Mic,18.859019,2,58341.72231,MJD,
164,BD+20 594 b,BD+20 594,41.688644,1,57068.02877,MJD,
339,DS Tuc A b,DS Tuc A,8.138268,1,58331.80997,MJD,
342,EPIC 201170410.02,EPIC 201170410,6.7987,1,58331.80997,MJD,
343,EPIC 201238110 b,EPIC 201238110,28.1656,1,56852.1572,MJD,
345,EPIC 201427007 b,EPIC 201427007,0.72091,1,57625.2943,MJD,
346,EPIC 201497682 b,EPIC 201497682,2.13174,1,56849.5263,MJD,
347,EPIC 201595106 b,EPIC 201595106,0.877214,1,57607.98962,MJD,
350,EPIC 201615463 c,K2-166,3.80464,2,57620.7227,MJD,
351,EPIC 201754305 d,K2-16,2.71578,3,56849.9963,MJD,
352,EPIC 201757695.02,EPIC 201757695,2.0478,1,56849.9963,MJD,
353,EPIC 201833600 c,K2-50,3.96151,2,56852.1552,MJD,
355,EPIC 201841433 b,EPIC 201841433,4.16888,1,56811.1359,MJD,
358,EPIC 205950854 c,K2-168,8.050722,2,56981.3136,MJD,
361,EPIC 206024342 b,EPIC 206024342,4.50756,3,56898.6324,MJD,
363,EPIC 206024342 c,EPIC 206024342,0.9116567,3,57016.02991,MJD,
366,EPIC 206024342 d,EPIC 206024342,14.641541,3,56984.983,MJD,
370,EPIC 206032309 b,EPIC 206032309,2.87814,1,56898.632,MJD,
371,EPIC 206042996 b,EPIC 206042996,5.2986,2,56898.6227,MJD,
374,EPIC 206042996 c,EPIC 206042996,0.35490972,2,57006.56827,MJD,
376,EPIC 206215704 b,EPIC 206215704,2.25558,1,57009.5005,MJD,
379,EPIC 206317286 b,EPIC 206317286,1.58316,2,57010.8327,MJD,
381,EPIC 206317286 c,EPIC 206317286,17.5125,2,56977.3215,MJD,
384,EPIC 211822797 b,EPIC 211822797,21.1595,1,57165.077,MJD,
390,EPIC 211945201 b,EPIC 211945201,19.50735025,1,58113.43994,MJD,
399,EPIC 212297394 b,EPIC 212297394,2.28896,2,57260.9607,MJD,
402,EPIC 212297394 c,EPIC 212297394,5.21378,2,57221.9789,MJD,
405,EPIC 212424622 b,EPIC 212424622,18.0971,1,57226.5642,MJD,
407,EPIC 212499991 b,EPIC 212499991,34.885,1,57280.1254,MJD,
408,EPIC 212587672 b,EPIC 212587672,15.2841,2,57227.14499,MJD,
411,EPIC 212587672 c,EPIC 212587672,23.226,2,57236.54249,MJD,
417,EPIC 212624936 b,EPIC 212624936,0.578657,2,57232.03108,MJD,
418,EPIC 212624936 c,EPIC 212624936,11.811437,2,57233.28707,MJD,
420,EPIC 212737443 b,EPIC 212737443,13.603,2,57234.47,MJD,
423,EPIC 212737443 c,EPIC 212737443,65.55,2,57227.29,MJD,
424,EPIC 220492298 b,EPIC 220492298,0.762406,1,57431.17734,MJD,
425,EPIC 220554210 c,K2-282,0.70531,2,57429.6411,MJD,
428,EPIC 220674823 b,EPIC 220674823,0.571285,2,57391.79718,MJD,
437,EPIC 220674823 c,EPIC 220674823,13.339079,2,57405.23415,MJD,
445,EPIC 228836835 b,EPIC 228836835,0.728113,1,57584.95061,MJD,
447,EPIC 246851721 b,EPIC 246851721,6.180235,1,57864.61032,MJD,
449,EPIC 248847494 b,EPIC 248847494,3650,1,57966.67,MJD,
450,EPIC 249893012 b,EPIC 249893012,3.5951,3,57993.896,MJD,
451,EPIC 249893012 c,EPIC 249893012,15.624,3,57998.341,MJD,
452,EPIC 249893012 d,EPIC 249893012,35.747,3,58008.152,MJD,
456,G 9-40 b,G 9-40,5.746007,1,58497.27747,MJD,
492,GJ 1252 b,GJ 1252,0.5182418,1,58667.59739,MJD,
497,GJ 143 b,GJ 143,35.589,2,58385.42502,MJD,
528,GJ 3090 b,GJ 3090,2.85310081,1,58355.65323,MJD,
